score_bin	n	liberal	liberal_fraction	channel	source_column
0-99	7018	1596	0.22741521801082928	Text mining transferred	max_textmining_transferred
100-199	1238	242	0.19547657512116318	Text mining transferred	max_textmining_transferred
200-299	903	150	0.16611295681063123	Text mining transferred	max_textmining_transferred
300-399	977	133	0.13613101330603888	Text mining transferred	max_textmining_transferred
400-499	920	123	0.13369565217391305	Text mining transferred	max_textmining_transferred
500-599	439	61	0.13895216400911162	Text mining transferred	max_textmining_transferred
600-699	291	28	0.09621993127147767	Text mining transferred	max_textmining_transferred
700-799	232	42	0.1810344827586207	Text mining transferred	max_textmining_transferred
800-899	184	33	0.1793478260869565	Text mining transferred	max_textmining_transferred
900-949	62	16	0.25806451612903225	Text mining transferred	max_textmining_transferred
950-1000	34	9	0.2647058823529412	Text mining transferred	max_textmining_transferred
