domain	n	liberal	strict	duf_families	pair_fraction	liberal_fraction	strict_fraction	liberal_ci_low	liberal_ci_high	strict_ci_low	strict_ci_high
Bacteria	10366	2153	1084	1690	0.8429012847617499	0.20769824426008104	0.10457264132741656	0.19999792431703461	0.21561513577059493	0.09882759513308265	0.11061066668183264
Eukaryotes	1660	213	100	375	0.13498129777199544	0.12831325301204818	0.060240963855421686	0.11307852582903245	0.1452643356548972	0.049778469637432224	0.07273415416041007
Archaea	272	67	24	135	0.022117417466254674	0.24632352941176472	0.08823529411764706	0.19888611786661095	0.30082676082898835	0.060009649874215344	0.12793009525487323
