score_bin	n	liberal	strict	liberal_fraction	strict_fraction	liberal_ci_low	liberal_ci_high	strict_ci_low	strict_ci_high
[0.5, 0.6)	2716	316	127	0.11634756995581738	0.046759941089838	0.10482681558962714	0.12895209271150332	0.039439778598106524	0.055360448003324965
[0.6, 0.7)	3112	461	188	0.1481362467866324	0.060411311053984576	0.13608914752153395	0.16105098951238972	0.05257016614250205	0.06933641601494779
[0.7, 0.75)	2147	450	235	0.2095947834187238	0.10945505356311132	0.19290412868196682	0.2273228187603739	0.0969395327821735	0.1233656723989054
[0.75, 0.8)	1612	387	185	0.2400744416873449	0.11476426799007444	0.21985679223907678	0.2615280167669545	0.10011180998274993	0.13124849167058045
[0.8, 1.001)	2711	819	473	0.3021025451862781	0.17447436370343047	0.28510774294870245	0.3196574116739467	0.16065128965643177	0.18921869907513922
