score_bin	n	strict	strict_fraction	channel	source_column
700-799	313	24	0.07667731629392971	Experiments transferred	max_experiments_transferred
800-899	800	39	0.04875	Experiments transferred	max_experiments_transferred
900-949	758	35	0.04617414248021108	Experiments transferred	max_experiments_transferred
950-1000	1261	45	0.035685963521015066	Experiments transferred	max_experiments_transferred
0-99	10959	1100	0.1003741217264349	Database	max_database
100-199	0	0		Database	max_database
200-299	0	0		Database	max_database
300-399	103	4	0.038834951456310676	Database	max_database
400-499	15	0	0.0	Database	max_database
500-599	151	4	0.026490066225165563	Database	max_database
600-699	7	1	0.14285714285714285	Database	max_database
700-799	48	2	0.041666666666666664	Database	max_database
800-899	59	7	0.11864406779661017	Database	max_database
900-949	956	90	0.09414225941422594	Database	max_database
950-1000	0	0		Database	max_database
0-99	8310	962	0.1157641395908544	Database transferred	max_database_transferred
100-199	158	25	0.15822784810126583	Database transferred	max_database_transferred
200-299	163	14	0.08588957055214724	Database transferred	max_database_transferred
300-399	154	11	0.07142857142857142	Database transferred	max_database_transferred
400-499	157	14	0.08917197452229299	Database transferred	max_database_transferred
500-599	216	17	0.0787037037037037	Database transferred	max_database_transferred
600-699	498	32	0.0642570281124498	Database transferred	max_database_transferred
700-799	758	38	0.05013192612137203	Database transferred	max_database_transferred
800-899	1055	48	0.04549763033175355	Database transferred	max_database_transferred
900-949	459	23	0.05010893246187364	Database transferred	max_database_transferred
950-1000	370	24	0.06486486486486487	Database transferred	max_database_transferred
0-99	10205	1028	0.10073493385595296	Text mining	max_textmining
100-199	121	2	0.01652892561983471	Text mining	max_textmining
200-299	107	5	0.04672897196261682	Text mining	max_textmining
300-399	153	9	0.058823529411764705	Text mining	max_textmining
400-499	150	11	0.07333333333333333	Text mining	max_textmining
500-599	190	18	0.09473684210526316	Text mining	max_textmining
600-699	225	21	0.09333333333333334	Text mining	max_textmining
700-799	280	35	0.125	Text mining	max_textmining
800-899	422	33	0.07819905213270142	Text mining	max_textmining
900-949	182	16	0.08791208791208792	Text mining	max_textmining
950-1000	263	30	0.11406844106463879	Text mining	max_textmining
0-99	7018	882	0.12567683100598462	Text mining transferred	max_textmining_transferred
100-199	1238	118	0.09531502423263329	Text mining transferred	max_textmining_transferred
200-299	903	58	0.06423034330011074	Text mining transferred	max_textmining_transferred
300-399	977	42	0.042988741044012284	Text mining transferred	max_textmining_transferred
400-499	920	30	0.03260869565217391	Text mining transferred	max_textmining_transferred
500-599	439	12	0.02733485193621868	Text mining transferred	max_textmining_transferred
600-699	291	12	0.041237113402061855	Text mining transferred	max_textmining_transferred
700-799	232	22	0.09482758620689655	Text mining transferred	max_textmining_transferred
800-899	184	18	0.09782608695652174	Text mining transferred	max_textmining_transferred
900-949	62	9	0.14516129032258066	Text mining transferred	max_textmining_transferred
950-1000	34	5	0.14705882352941177	Text mining transferred	max_textmining_transferred
