ranking	average_precision	auroc
L2 model	0.37158084962807747	0.8002698608323064
Combined STRING score	0.14193176038844493	0.5244957973039749
Neighborhood score	0.24398323594027235	0.7372796261529604
Co-occurrence score	0.3163410691710703	0.780595477070787
