fold	test_rows	test_positives	average_precision	auroc
1	905	123	0.3071163482933399	0.7486380554342628
2	905	123	0.3581808921481875	0.8082829101948308
3	905	123	0.4260485111013195	0.8118697107687189
4	904	123	0.43457679308809605	0.8294921041399914
5	904	122	0.3683681502120099	0.8085090771875393
